Number of Trucks: 1000
Number of Stations: 2



Print Station Results
Station 1 unload count: 17032	Station 1 unload percentage: 98.49%
Station 2 unload count: 262	Station 2 unload percentage: 1.51%
Highest Performing Station: Station 1 with 17032 unloads
Lowest Performing Station:  Station 2 with 262 unloads



Print Truck Results
Truck 1 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 2 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 3 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 4 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 5 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 6 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 7 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 8 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 9 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 10 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 11 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 12 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 13 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 14 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 15 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 16 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 17 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 18 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 19 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 20 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 21 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 22 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 23 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 24 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 25 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 26 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 27 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 28 results ---> Unload Count: 15	Unload Percentage: 0.09%
Truck 29 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 30 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 31 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 32 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 33 results ---> Unload Count: 15	Unload Percentage: 0.09%
Truck 34 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 35 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 36 results ---> Unload Count: 15	Unload Percentage: 0.09%
Truck 37 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 38 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 39 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 40 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 41 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 42 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 43 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 44 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 45 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 46 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 47 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 48 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 49 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 50 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 51 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 52 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 53 results ---> Unload Count: 20	Unload Percentage: 0.12%
Truck 54 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 55 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 56 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 57 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 58 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 59 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 60 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 61 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 62 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 63 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 64 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 65 results ---> Unload Count: 15	Unload Percentage: 0.09%
Truck 66 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 67 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 68 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 69 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 70 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 71 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 72 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 73 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 74 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 75 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 76 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 77 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 78 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 79 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 80 results ---> Unload Count: 15	Unload Percentage: 0.09%
Truck 81 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 82 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 83 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 84 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 85 results ---> Unload Count: 15	Unload Percentage: 0.09%
Truck 86 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 87 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 88 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 89 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 90 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 91 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 92 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 93 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 94 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 95 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 96 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 97 results ---> Unload Count: 15	Unload Percentage: 0.09%
Truck 98 results ---> Unload Count: 15	Unload Percentage: 0.09%
Truck 99 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 100 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 101 results ---> Unload Count: 21	Unload Percentage: 0.12%
